order_item_id,order_item_order_id,order_item_product_id,order_item_quantity,order_item_subtotal,order_item_product_price
1,1,957,1,299.98,299.98
2,2,1073,1,199.99,199.99
3,2,502,5,250.0,50.0
4,2,403,1,129.99,129.99
5,4,897,2,49.98,24.99
6,4,365,5,299.95,59.99
7,4,502,3,150.0,50.0
8,4,1014,4,199.92,49.98
9,5,957,1,299.98,299.98
10,5,365,5,299.95,59.99
11,5,1014,2,99.96,49.98
12,5,957,1,299.98,299.98
13,5,403,1,129.99,129.99
14,7,1073,1,199.99,199.99
15,7,957,1,299.98,299.98
16,7,926,5,79.95,15.99
17,8,365,3,179.97,59.99
18,8,365,5,299.95,59.99
19,8,1014,4,199.92,49.98
20,8,502,1,50.0,50.0
21,9,191,2,199.98,99.99
22,9,1073,1,199.99,199.99
23,9,1073,1,199.99,199.99
24,10,1073,1,199.99,199.99
25,10,1014,2,99.96,49.98
26,10,403,1,129.99,129.99
27,10,917,1,21.99,21.99
28,10,1073,1,199.99,199.99
29,11,365,1,59.99,59.99
30,11,627,4,159.96,39.99
31,11,1014,1,49.98,49.98
32,11,191,4,399.96,99.99
33,11,1014,5,249.9,49.98
34,12,957,1,299.98,299.98
35,12,134,4,100.0,25.0
36,12,1014,3,149.94,49.98
37,12,191,5,499.95,99.99
38,12,502,5,250.0,50.0
39,13,276,4,127.96,31.99
40,14,1004,1,399.98,399.98
41,14,1014,2,99.96,49.98
42,14,502,1,50.0,50.0
43,15,502,1,50.0,50.0
44,15,1073,1,199.99,199.99
45,15,828,3,95.97,31.99
46,15,365,3,179.97,59.99
47,15,1004,1,399.98,399.98
48,16,365,2,119.98,59.99
49,16,365,5,299.95,59.99
50,17,810,4,79.96,19.99
51,17,1014,2,99.96,49.98
52,17,93,3,74.97,24.99
53,17,1073,1,199.99,199.99
54,17,365,4,239.96,59.99
55,18,1073,1,199.99,199.99
56,18,365,2,119.98,59.99
57,18,403,1,129.99,129.99
58,19,1004,1,399.98,399.98
59,19,957,1,299.98,299.98
60,20,502,5,250.0,50.0
61,20,1014,4,199.92,49.98
62,20,403,1,129.99,129.99
63,20,365,5,299.95,59.99
64,21,897,3,74.97,24.99
65,21,276,4,127.96,31.99
66,21,37,2,69.98,34.99
67,21,502,2,100.0,50.0
68,23,957,1,299.98,299.98
69,24,403,1,129.99,129.99
70,24,502,1,50.0,50.0
71,24,502,5,250.0,50.0
72,24,1073,1,199.99,199.99
73,24,1073,1,199.99,199.99
74,25,1004,1,399.98,399.98
75,27,502,3,150.0,50.0
76,27,1073,1,199.99,199.99
77,27,1004,1,399.98,399.98
78,28,191,4,399.96,99.99
79,28,957,1,299.98,299.98
80,28,957,1,299.98,299.98
81,28,191,1,99.99,99.99
82,28,365,1,59.99,59.99
83,29,1073,1,199.99,199.99
84,29,1014,5,249.9,49.98
85,29,403,1,129.99,129.99
86,29,403,1,129.99,129.99
